design_id,re_style,period_nm,width_nm,gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_coverage,bottom_coverage,sidewall_coverage,re_overlap,score
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,2,664.748663391254,0.2653525161110343,450.9861764453821,1252.576521854227,24,0.7142857142857143,0.6493506493506493,0.5,nan,19.62260648630862
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,3,664.6405600643875,0.06359057855554008,451.05952903469716,5225.935784527339,24,0.7142857142857143,0.6493506493506493,0.5,nan,17.1868727591685
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,4,664.6405592686231,0.06357300984974684,451.05952957474415,5227.379990655498,24,0.7142857142857143,0.6493506493506493,0.5,nan,17.186393290177456
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,5,664.9096927912136,0.5995070012150124,450.87695554791225,554.5470623726249,24,0.7142857142857143,0.6493506493506493,0.5,nan,21.147290815979872
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,6,664.9097107856583,0.5996318852940555,450.87694334583387,554.4315830199647,24,0.7142857142857143,0.6493506493506493,0.5,nan,21.147664807140657
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,7,665.1578709876537,1.1025674010237547,450.70872807211293,301.64045770355716,24,0.7142857142857143,0.6493506493506493,0.5,nan,22.373313563459224
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,8,665.1578851743677,1.102310651205308,450.7087184592436,301.710722130399,24,0.7142857142857143,0.6493506493506493,0.5,nan,22.372918563505934
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,9,665.4299955755722,1.7863040968866717,450.52441277566794,186.2588785233551,24,0.7142857142857143,0.6493506493506493,0.5,nan,23.395119289484597
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,10,665.430059468455,1.786633614074473,450.5243695174726,186.2245438086551,24,0.7142857142857143,0.6493506493506493,0.5,nan,23.39548280627464
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,11,665.8712978568609,2.589571094948622,450.22583037427296,128.56787348989002,24,0.7142857142857143,0.6493506493506493,0.5,nan,24.337639782762263
coarse_P480_G340,particulate,480.0,140.0,340.0,0.0,12,665.8716294516781,2.5902254809360974,450.22560616806663,128.5354565369797,24,0.7142857142857143,0.6493506493506493,0.5,nan,24.33830205420383
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,1,664.2831078681828,6.5428177028378425,451.30224515582506,50.76429896404271,26,0.7317073170731707,0.5102040816326531,0.5,nan,25.480011583355395
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,2,666.2473483601067,5.1546375770305755,449.97170906256605,64.6260128286178,26,0.7317073170731707,0.5102040816326531,0.5,nan,25.78666148749819
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,3,667.0324737728121,15.357248930574128,449.44207334365524,21.717186352460693,26,0.7317073170731707,0.5102040816326531,0.5,nan,28.210712424381775
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,4,667.0334198588267,15.35649977398952,449.44143587805405,21.718276614982024,26,0.7317073170731707,0.5102040816326531,0.5,nan,28.211262681059267
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,5,662.0510188231507,0.35534989381808924,452.82379979250754,931.548074645082,26,0.7317073170731707,0.5102040816326531,0.5,nan,21.946978702269526
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,6,667.67346384471,6.9165098211950715,449.01059310292857,48.26664611959922,26,0.7317073170731707,0.5102040816326531,0.5,nan,27.25481840802048
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,7,661.6104107538055,2.8572604521753955,453.12536369920724,115.77705669955354,26,0.7317073170731707,0.5102040816326531,0.5,nan,25.87087368050177
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,8,661.0246115310923,0.22837045544692527,453.5269228563342,1447.2638552072217,26,0.7317073170731707,0.5102040816326531,0.5,nan,21.884731992634332
coarse_P540_G130,particulate,540.0,410.0,130.0,0.0,9,668.7769953921675,0.27876857773010777,448.2696923870762,1199.5200478435015,26,0.7317073170731707,0.5102040816326531,0.5,nan,22.414277569627384
