x_nm,y_nm,abs_ez_squared,in_particle_re
94.07999999999997,599.9999999999999,1.882903261043786e-17,False
99.95999999999998,480.0,2.4782624789605056e-19,False
105.83999999999999,480.0,2.4822739719241417e-19,False
99.96,519.9999999999999,3.6197335012116254e-19,False
105.84,520.0,3.622200848778073e-19,False
111.72000000000003,400.0,4.763465671272984e-21,False
117.60000000000001,400.0,4.7636863419078425e-21,False
111.72000000000001,439.99999999999994,6.92642745970756e-21,False
117.60000000000001,439.9999999999999,6.90914783739076e-21,False
123.48000000000003,320.0,9.126919305138976e-23,False
129.36,320.0,9.006580927596482e-23,False
123.48000000000003,360.0,1.3079514212528933e-22,False
129.36,360.0,1.3328787718709823e-22,False
135.23999999999998,240.0,1.811857139842087e-24,False
141.11999999999998,240.0,1.8406188951869152e-24,False
147.0,240.0,1.864532591662885e-24,False
135.23999999999998,280.00000000000006,2.4480717198454176e-24,False
141.12,280.00000000000006,2.4255463921354495e-24,False
147.0,280.0,2.42462651387321e-24,False
52.91999999999996,719.9999999999998,3.598115925948066e-14,False
58.79999999999995,719.9999999999999,3.5964643630935246e-14,False
52.91999999999995,759.9999999999999,5.192638017108262e-14,False
58.79999999999995,759.9999999999999,5.1910353434343466e-14,False
52.919999999999945,800.0,1.8870379936484865e-12,False
58.79999999999995,800.0,1.885710743388826e-12,False
64.67999999999995,640.0,6.849687646170404e-16,False
70.55999999999996,639.9999999999999,6.85334853663853e-16,False
64.67999999999994,680.0,9.895656149152602e-16,False
70.55999999999996,680.0,9.89886901557119e-16,False
76.43999999999994,559.9999999999999,1.3057812578882565e-17,False
82.31999999999992,559.9999999999999,1.3080671876410544e-17,False
76.43999999999996,599.9999999999999,1.8859841464152265e-17,False
82.31999999999995,599.9999999999999,1.8853050634004607e-17,False
88.19999999999995,480.0,2.480684973545727e-19,False
94.07999999999997,480.0,2.4806044887803696e-19,False
88.19999999999993,519.9999999999999,3.611798446955088e-19,False
94.07999999999996,519.9999999999999,3.619048171929297e-19,False
99.95999999999992,400.0,4.759924388971369e-21,False
105.83999999999997,400.0,4.7603586851343534e-21,False
99.95999999999995,439.99999999999994,6.936279895202066e-21,False
105.83999999999999,439.99999999999994,6.934162017943113e-21,False
111.72000000000001,320.00000000000006,9.31235860610329e-23,False
117.60000000000002,320.00000000000006,9.213737427780169e-23,False
111.72000000000001,360.0,1.2616857169100064e-22,False
117.60000000000001,360.0,1.2810479974754473e-22,False
123.48000000000006,240.00000000000006,1.7261453457028184e-24,False
129.36,240.0,1.7687633200582445e-24,False
123.48000000000003,280.00000000000006,2.5144923108154536e-24,False
129.36,280.00000000000006,2.47522613020474e-24,False
135.24,160.0,3.4684851131270613e-26,False
141.12,159.99999999999997,3.5364512675640123e-26,False
147.0,159.99999999999997,3.5791833355894155e-26,False
135.23999999999998,200.00000000000003,4.1418647784391283e-26,False
141.12,200.0,3.9051961775040443e-26,False
147.0,199.99999999999997,3.7926106312779246e-26,False
41.16,719.9999999999998,3.599871062577646e-14,False
47.03999999999998,719.9999999999998,3.5982044103653035e-14,False
41.15999999999998,759.9999999999999,5.19621691697704e-14,False
47.039999999999964,759.9999999999999,5.193330875046421e-14,False
41.15999999999997,800.0,1.8879924137922e-12,False
47.03999999999996,800.0,1.8864803840301163e-12,False
52.91999999999996,640.0,6.851285211688324e-16,False
58.79999999999995,640.0,6.853335100463972e-16,False
52.91999999999996,680.0,9.898886062221657e-16,False
58.79999999999995,680.0,9.900192976826148e-16,False
64.67999999999994,559.9999999999999,1.3043956429154177e-17,False
70.55999999999993,559.9999999999999,1.3063684832833541e-17,False
64.67999999999994,599.9999999999999,1.8904596771374157e-17,False
70.55999999999995,599.9999999999999,1.88970784390764e-17,False
76.43999999999994,480.0000000000001,2.4894828667431746e-19,False
82.31999999999995,480.0,2.486739965793872e-19,False
76.43999999999994,520.0,3.597693517523843e-19,False
82.31999999999995,519.9999999999999,3.6073303862791025e-19,False
88.19999999999995,400.0000000000001,4.7561847742629165e-21,False
94.07999999999994,400.00000000000006,4.756649857845527e-21,False
88.19999999999995,440.00000000000006,6.912048717788302e-21,False
94.07999999999996,440.0,6.926741423101066e-21,False
99.95999999999995,319.99999999999994,9.380308786271081e-23,False
105.83999999999999,319.99999999999994,9.349932724057355e-23,False
99.95999999999994,359.99999999999994,1.2434704648343508e-22,False
105.83999999999999,359.99999999999994,1.2465300582450586e-22,False
111.72000000000006,240.00000000000006,1.6474687246780944e-24,False
117.60000000000007,240.00000000000006,1.679057011128895e-24,False
111.72000000000004,280.00000000000006,2.5852516205104964e-24,False
117.60000000000004,280.00000000000006,2.548370689719649e-24,False
123.48,159.99999999999997,3.2876548796868005e-26,False
129.36,159.99999999999997,3.374989040624993e-26,False
123.48000000000003,200.00000000000003,4.886913321487297e-26,False
129.36,200.00000000000003,4.4764323643348963e-26,False
135.24,79.99999999999997,4.203187800568862e-28,False
141.12,79.99999999999997,3.5103515755231166e-28,False
147.0,79.99999999999999,3.1254012063195965e-28,False
135.24,120.0,1.4124461899066221e-27,False
141.12,119.99999999999997,1.6341464355678335e-27,False
147.0,119.99999999999997,1.7577801522106392e-27,False
-147.0,720.0,3.610880287930593e-14,False
-141.12,720.0,3.611100457996049e-14,False
-135.24,720.0,3.613401866436136e-14,False
-147.0,760.0,5.211379752760843e-14,False
-141.12,759.9999999999999,5.2125747543279345e-14,False
-135.24,760.0,5.216384971552086e-14,False
-147.0,800.0,1.8929563865975407e-12,False
-141.12,800.0,1.8918911220011546e-12,False
-135.24,800.0,1.893478720572436e-12,False
29.4,720.0,3.6017254286824274e-14,False
35.28,719.9999999999999,3.5999852195659005e-14,False
29.4,760.0,5.2019166383041485e-14,False
35.279999999999994,759.9999999999999,5.198078096064367e-14,False
29.4,800.0,1.8892571410024717e-12,False
35.27999999999999,800.0,1.887601961267623e-12,False
41.160000000000004,640.0,6.856239012525911e-16,False
47.039999999999985,640.0,6.856627071247068e-16,False
41.160000000000004,680.0,9.90589973703913e-16,False
47.039999999999985,680.0,9.905350006089748e-16,False
52.91999999999993,560.0,1.3042259121428133e-17,False
58.79999999999993,559.9999999999999,1.30551830098971e-17,False
52.91999999999994,600.0,1.8933855056729317e-17,False
58.79999999999994,600.0,1.8936654698359278e-17,False
64.67999999999994,480.0,2.499542515339681e-19,False
70.55999999999993,480.0,2.4969395994597354e-19,False
64.67999999999994,519.9999999999999,3.5845868201374247e-19,False
70.55999999999993,519.9999999999999,3.592767060606608e-19,False
76.43999999999998,400.0,4.752856330160477e-21,False
82.31999999999996,400.00000000000006,4.753042050659106e-21,False
76.43999999999996,440.00000000000006,6.865111692137854e-21,False
82.31999999999995,440.00000000000006,6.88860470995276e-21,False
88.19999999999992,320.0,9.2881196592998e-23,False
94.07999999999994,319.99999999999994,9.337209013638655e-23,False
88.19999999999993,360.00000000000006,1.2619911050855976e-22,False
94.07999999999994,360.0,1.246738530110427e-22,False
99.9599999999999,240.00000000000006,1.6174805769811122e-24,False
105.83999999999997,240.00000000000006,1.6212740945569813e-24,False
99.95999999999992,280.0,2.6148532153667646e-24,False
105.83999999999999,280.00000000000006,2.6038733979151067e-24,False
111.71999999999994,159.99999999999997,3.1661706415255634e-26,False
117.59999999999998,159.99999999999997,3.2139123033879243e-26,False
