Wavel.[nm]  	MAT._REFRACTIVE_INDEX  	MAT._ABSORPTION    
719.360	2.0827	0.0000
720.490	2.0826	0.0000
721.621	2.0825	0.0000
722.751	2.0825	0.0000
723.882	2.0824	0.0000
725.013	2.0823	0.0000
726.143	2.0822	0.0000
727.274	2.0821	0.0000
728.404	2.0820	0.0000
729.535	2.0819	0.0000
730.665	2.0819	0.0000
731.796	2.0818	0.0000
732.926	2.0817	0.0000
734.057	2.0816	0.0000
735.188	2.0815	0.0000
736.318	2.0814	0.0000
737.449	2.0814	0.0000
738.579	2.0813	0.0000
739.710	2.0812	0.0000
740.840	2.0811	0.0000
741.971	2.0810	0.0000
743.102	2.0810	0.0000
744.232	2.0809	0.0000
745.363	2.0808	0.0000
746.493	2.0807	0.0000
747.624	2.0806	0.0000
748.754	2.0806	0.0000
749.885	2.0805	0.0000
751.016	2.0804	0.0000
752.146	2.0803	0.0000
753.277	2.0803	0.0000
754.407	2.0802	0.0000
755.538	2.0801	0.0000
756.668	2.0800	0.0000
757.799	2.0800	0.0000
758.929	2.0799	0.0000
760.060	2.0798	0.0000
761.191	2.0797	0.0000
762.321	2.0797	0.0000
763.452	2.0796	0.0000
764.582	2.0795	0.0000
765.713	2.0794	0.0000
766.843	2.0794	0.0000
767.974	2.0793	0.0000
769.105	2.0792	0.0000
770.235	2.0791	0.0000
771.366	2.0791	0.0000
772.496	2.0790	0.0000
773.627	2.0789	0.0000
774.757	2.0789	0.0000
775.888	2.0788	0.0000
777.019	2.0787	0.0000
778.149	2.0787	0.0000
779.280	2.0786	0.0000
780.410	2.0785	0.0000
781.541	2.0785	0.0000
782.671	2.0784	0.0000
783.802	2.0783	0.0000
784.932	2.0783	0.0000
786.063	2.0782	0.0000
787.194	2.0781	0.0000
788.324	2.0780	0.0000
789.455	2.0780	0.0000
790.585	2.0779	0.0000
791.716	2.0779	0.0000
792.846	2.0778	0.0000
793.977	2.0777	0.0000
795.108	2.0777	0.0000
796.238	2.0776	0.0000
797.369	2.0775	0.0000
798.499	2.0775	0.0000
799.630	2.0774	0.0000
800.760	2.0773	0.0000
801.891	2.0773	0.0000
803.022	2.0772	0.0000
804.152	2.0771	0.0000
805.283	2.0771	0.0000
806.413	2.0770	0.0000
807.544	2.0770	0.0000
808.674	2.0769	0.0000
809.805	2.0768	0.0000
810.935	2.0768	0.0000
812.066	2.0767	0.0000
813.197	2.0767	0.0000
814.327	2.0766	0.0000
815.458	2.0765	0.0000
816.588	2.0765	0.0000
817.719	2.0764	0.0000
