x_nm,y_nm,abs_ez,abs_ez_squared
103.2749999999999,746.6666666666665,2.882003361160023e-06,8.30594337373767e-12
114.7499999999999,746.6666666666666,2.8826529103250375e-06,8.309687801405408e-12
126.22499999999988,746.6666666666666,2.8825692397507745e-06,8.309205421957358e-12
103.2749999999999,773.3333333333331,4.544752762902803e-06,2.0654777675912662e-11
114.74999999999991,773.3333333333334,4.544305868993313e-06,2.0650715830967074e-11
126.22499999999988,773.3333333333333,4.544220189269248e-06,2.064993712856224e-11
103.2749999999999,800.0,8.673007321817436e-06,7.522105600429886e-11
114.74999999999993,800.0000000000001,8.669967660397441e-06,7.516833923233748e-11
126.22499999999994,800.0,8.669826223029583e-06,7.51658867375314e-11
137.6999999999999,640.0000000000001,2.1264105602114972e-07,4.521621870578973e-14
149.17499999999993,640.0000000000001,2.1274672081503422e-07,4.5261167217550116e-14
160.64999999999992,639.9999999999999,2.1273286267565172e-07,4.525527086217769e-14
137.6999999999999,666.6666666666667,4.5147276985097694e-07,2.0382766191691319e-13
149.17499999999993,666.6666666666666,4.5136998196174274e-07,2.0373486061614395e-13
160.64999999999992,666.6666666666666,4.5134828182099826e-07,2.0371527150276727e-13
137.69999999999987,693.3333333333333,7.114051098825386e-07,5.060972303669869e-13
149.17499999999993,693.3333333333333,7.11391891290307e-07,5.060784229935999e-13
160.64999999999992,693.3333333333333,7.11384726786609e-07,5.060682295052583e-13
172.12499999999991,559.9999999999999,3.335144495425742e-08,1.1123188805368627e-15
183.5999999999999,560.0,3.3358407094898694e-08,1.1127833239089875e-15
195.07499999999987,560.0,3.335742705987825e-08,1.1127179400550974e-15
172.12499999999994,586.6666666666665,7.083193268903446e-08,5.017162688463909e-15
183.59999999999997,586.6666666666666,7.080129028122899e-08,5.01282270548685e-15
195.07499999999993,586.6666666666666,7.077804768316762e-08,5.0095320338407496e-15
172.12499999999994,613.3333333333331,1.1157507049608456e-07,1.244899635620624e-14
183.59999999999997,613.3333333333334,1.1154982363837576e-07,1.2443363153752735e-14
195.07499999999996,613.3333333333335,1.1150945749753663e-07,1.2434359111394928e-14
206.54999999999998,479.9999999999999,5.168908167469855e-09,2.671761164373657e-17
218.025,480.0,5.205602677693482e-09,2.709829923800955e-17
229.49999999999997,480.0,5.243392073973257e-09,2.749316044140557e-17
206.54999999999995,506.6666666666667,1.1054704622786608e-08,1.222064942970596e-16
218.02499999999998,506.6666666666667,1.1094366861143907e-08,1.230849760496481e-16
229.49999999999994,506.6666666666667,1.1128656230340981e-08,1.2384698949310713e-16
206.5499999999999,533.3333333333334,1.748571338174362e-08,3.057501724684879e-16
218.02499999999995,533.3333333333334,1.7501077080853368e-08,3.0628769898997106e-16
229.49999999999994,533.3333333333333,1.7512837821295296e-08,3.0669948855499095e-16
240.97499999999997,400.0,7.51890401277243e-10,5.653391755328535e-19
252.45,400.00000000000006,7.454147851975059e-10,5.556432019910439e-19
263.92499999999995,400.0,7.442204450965423e-10,5.538640708996955e-19
275.4,400.0,7.479089130964655e-10,5.593677422891364e-19
240.97500000000002,426.6666666666667,1.7020912086808586e-09,2.897114482668666e-18
252.45,426.6666666666667,1.7130671352340277e-09,2.9345990098189184e-18
263.925,426.6666666666667,1.724862073553233e-09,2.9751491727823587e-18
275.4,426.6666666666667,1.737190657000005e-09,3.017831378768109e-18
240.97499999999997,453.3333333333333,2.7595439345679437e-09,7.615082726810727e-18
252.45,453.3333333333333,2.786931469107323e-09,7.766987013500702e-18
263.92499999999995,453.3333333333333,2.809891838056302e-09,7.895492141575425e-18
275.4,453.3333333333333,2.8283741297576065e-09,7.999700217882098e-18
-160.65000000000003,719.9999999999999,1.3584497481202846e-06,1.845385718168065e-12
-149.17499999999998,720.0,1.3584563326448322e-06,1.845403607702847e-12
-137.7,720.0,1.3588200492699841e-06,1.846391926298082e-12
-160.65000000000003,746.6666666666666,2.885305389117711e-06,8.324987188471705e-12
-149.175,746.6666666666667,2.88529502080101e-06,8.324927357059102e-12
-137.7,746.6666666666667,2.884549231009228e-06,8.32062426611593e-12
-160.65,773.3333333333334,4.549039762394893e-06,2.0693762759849783e-11
-149.17499999999998,773.3333333333334,4.549124695848404e-06,2.0694535498377834e-11
-137.7,773.3333333333334,4.549478626338692e-06,2.069775577151259e-11
