"period_nm","fill","gap_nm","remaining_air_gap_nm","kx_norm","mode_index","freq_thz_real","freq_thz_imag","wavelength_nm","q_value","score"
"540.0","0.72","151.20000000000002","119.20000000000002","0.0","4","313.4073769903037","1.0077131002263318","956.5583965474914","155.5042684866916","91.52418030635442"
"540.0","0.72","151.20000000000002","119.20000000000002","0.0","5","313.40743014986475","1.0078510231407105","956.5582342979093","155.4830143314289","91.52493618550741"
"540.0","0.72","151.20000000000002","119.20000000000002","0.0","6","314.09050154634025","2.39070340920356","954.4779499031405","65.68997650172267","97.34705903171734"
"540.0","0.72","151.20000000000002","119.20000000000002","0.0","7","314.0906764479648","2.3908706082213187","954.4774184013909","65.6854192292806","97.34789183772011"
"540.0","0.72","151.20000000000002","119.20000000000002","0.0","8","315.0693617746572","4.029780965856252","951.5125695224423","39.092616254356514","102.56648311403627"
"540.0","0.74","140.4","108.4","0.0","1","311.2216158756231","3.054228470754944e-10","963.2764650891386","509493017394.82404","16.723534910861417"
"540.0","0.74","140.4","108.4","0.0","2","312.9907921643494","0.2655640782708026","957.8315576855084","589.2942942478549","84.46511995323749"
"540.0","0.74","140.4","108.4","0.0","3","312.99079326628566","0.265600763844635","957.8315543133027","589.2129012275202","84.46572321214374"
"540.0","0.74","140.4","108.4","0.0","4","313.4073769856356","1.007712894661326","956.5583965617388","155.50430020594612","91.5241794062473"
"540.0","0.74","140.4","108.4","0.0","5","313.4074301602975","1.007850414711226","956.5582342660674","155.48310820018688","91.52493359541198"
"540.0","0.74","140.4","108.4","0.0","6","314.0905015444535","2.390703506204305","954.477949908874","65.68997383601359","97.34705920222112"
"540.0","0.74","140.4","108.4","0.0","7","314.09067643835937","2.3908708695277747","954.4774184305804","65.68541204828766","97.34789228331871"
"540.0","0.74","140.4","108.4","0.0","8","315.06936150448865","4.029780136602511","951.512570338354","39.09262426536776","102.56648140815152"
"540.0","0.76","129.6","97.6","0.0","1","309.5308030961961","1.802933683193618e-09","968.5383651682329","85840873122.93988","11.461634831767128"
"540.0","0.76","129.6","97.6","0.0","2","312.9907921647237","0.26556407881643185","957.831557684363","589.2942930377926","84.46511996330074"
"540.0","0.76","129.6","97.6","0.0","3","312.9907932650163","0.26560077722127373","957.8315543171873","589.2128715501868","84.46572342700358"
"540.0","0.76","129.6","97.6","0.0","4","313.407376925017","1.0077127393889413","956.5583967467544","155.50432413658953","91.5241785528936"
"540.0","0.76","129.6","97.6","0.0","5","313.40743022318145","1.0078503503793041","956.5582340741378","155.4831181559994","91.52493350925648"
"540.0","0.76","129.6","97.6","0.0","6","314.0905015993218","2.390703516230523","954.4779497421367","65.68997357199596","97.34705938641336"
"540.0","0.76","129.6","97.6","0.0","7","314.09067637804793","2.39087098170087","954.4774186138585","65.6854089538958","97.3478923046336"
"540.0","0.76","129.6","97.6","0.0","8","315.0693608106029","4.02977909709211","951.5125724338956","39.09263426349562","102.56647820188088"
"540.0","0.78","118.79999999999998","86.79999999999998","0.0","1","308.07446688735575","4.641600320740392e-10","973.1168604427579","331862337985.8502","6.883139557242089"
"540.0","0.78","118.79999999999998","86.79999999999998","0.0","2","312.9907921610659","0.2655641316930285","957.8315576955567","589.2941756962475","84.4651208168836"
