period_nm,fill,ridge_width_nm,taper_deg,top_gap_nm,bottom_gap_nm,min_gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
566.3,0.6864276885043263,388.724,0.0,177.57599999999996,177.57599999999996,177.57599999999996,145.57599999999996,0.0,1,304.1888429845384,2.2514799715583462e-10,985.5471852898897,675530865979.6698,5.54718528988974
566.3,0.695256930955324,393.724,0.0,172.57599999999996,172.57599999999996,172.57599999999996,140.57599999999996,0.0,1,303.15705056522677,9.32326712593036e-10,988.9014866751289,162580909926.9882,8.901486675128922
569.3,0.6564623221500088,373.724,0.0,195.57599999999996,195.57599999999996,195.57599999999996,163.57599999999996,0.0,1,306.6639222743727,1.2033135876879672e-09,977.5928507552813,127424773314.32498,2.407149244718653
569.3,0.6652450377656772,378.724,0.0,190.57599999999996,190.57599999999996,190.57599999999996,158.57599999999996,0.0,1,305.4704753044038,1.6371349799595506e-09,981.4122222491532,93294224069.40178,1.4122222491531602
569.3,0.6740277533813456,383.724,0.0,185.57599999999996,185.57599999999996,185.57599999999996,153.57599999999996,0.0,1,304.32849758676997,1.3176859133295227e-09,985.0949233386312,115478390756.18336,5.094923338631247
569.3,0.6828104689970139,388.724,0.0,180.57599999999996,180.57599999999996,180.57599999999996,148.57599999999996,0.0,1,303.2362142177256,8.239105154270291e-10,988.6433214231695,184022541610.9416,8.643321423169482
569.3,0.6915931846126823,393.724,0.0,175.57599999999996,175.57599999999996,175.57599999999996,143.57599999999996,0.0,1,302.19504891955336,1.5962680566079585e-09,992.0495357943704,94656736275.77078,12.0495357943704
559.3,0.6681995351332023,373.724,2.0,185.57599999999996,164.62353830495135,164.62353830495135,132.62353830495135,0.0,8,302.18356408161293,0.27608600406982037,992.0872397912179,547.2634607098603,74.7052752667055
559.3,0.6771392812444127,378.724,2.0,180.57599999999996,159.62353830495135,159.62353830495135,127.62353830495135,0.0,8,302.1835640797643,0.2760860333362707,992.0872397972871,547.2634026939477,74.70527573317435
559.3,0.6860790273556231,383.724,2.0,175.57599999999996,154.62353830495135,154.62353830495135,122.62353830495135,0.0,8,302.1835640817016,0.2760860061954064,992.0872397909267,547.2634564966397,74.70527529984929
559.3,0.6950187734668336,388.724,2.0,170.57599999999996,149.62353830495135,149.62353830495135,117.62353830495135,0.0,8,302.1835640848357,0.27608595387247925,992.0872397806372,547.2635602179361,74.70527446645386
