source,design_id,family,lambda980_nm,q980,lambda451_nm,q451,min_feature_nm,min_gap_nm,dual_score
coarse_scan_2d.csv,primitive_P560_f0p75,primitive_1d_grating,987.2044202204338,5546808658.776342,453.87198041913723,770.8604191294174,140.0,140.0,25.732917872780245
wide_shallow_groove_scan_2d.csv,groove_P562_f0p72_gw120_gd100,wide_shallow_groove_1d,974.3745580296971,2510229356.72176,451.1166734768417,24.515438947754177,100.0,157.36,25.809798722753
wide_shallow_groove_scan_2d.csv,groove_P558_f0p74_gw100_gd150,wide_shallow_groove_1d,974.7446748642122,4057537683.903044,449.3187648546261,39.29857260964051,100.0,145.07999999999998,25.81437831153059
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw120_gd100,wide_shallow_groove_1d,974.6354482560873,9721239079.85016,446.7681495165209,154.86787593454375,100.0,121.0,26.20110860372056
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw120_gd100,wide_shallow_groove_1d,975.3480508066073,6621501925.033009,453.5496342682965,25.672724352405687,100.0,132.95999999999998,26.21564482380309
fine_scan_2d.csv,fine_primitive_P548_f0p76,primitive_1d_grating_fine,971.8156945940809,11058932815.587677,449.28846443775586,846.985877928476,131.51999999999998,131.51999999999998,26.368641697051626
fine_scan_2d.csv,fine_primitive_P562_f0p70,primitive_1d_grating_fine,972.4444012731419,2601920906.5942326,448.22101940401257,743.1192289351925,168.60000000000002,168.60000000000002,26.40594405272597
fine_scan_2d.csv,fine_primitive_P558_f0p76,primitive_1d_grating_fine,987.149014632208,7086141975.173126,455.36585458248487,947.2766017397488,133.92000000000002,133.92000000000002,26.757976606413692
fine_scan_2d.csv,fine_primitive_P554_f0p78,primitive_1d_grating_fine,986.4519317685632,8846420037.004112,450.116373244231,56.092992917564835,121.88,121.88,26.791855840904706
wide_shallow_groove_scan_2d.csv,groove_P562_f0p72_gw100_gd150,wide_shallow_groove_1d,973.8429410027875,2512131438.5001607,449.17911086075634,37.23221435557978,100.0,157.36,27.85133166848236
wide_shallow_groove_scan_2d.csv,groove_P558_f0p74_gw120_gd120,wide_shallow_groove_1d,973.5536514686477,3504294922.943246,451.82366808051495,26.290044536310788,120.0,145.07999999999998,28.037199855947804
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw120_gd120,wide_shallow_groove_1d,973.7039469680528,4677421563.546404,452.4060059105569,26.744861340628013,120.0,139.0,28.2891505719442
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw100_gd180,wide_shallow_groove_1d,972.3622646421679,8434772009.545132,444.1314137512432,2854.635078115522,100.0,121.0,28.321854571803016
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw120_gd120,wide_shallow_groove_1d,973.6501961834367,6011075989.056356,453.0086562132198,27.449764413364466,120.0,132.95999999999998,28.954109360406278
wide_shallow_groove_scan_2d.csv,groove_P562_f0p72_gw120_gd120,wide_shallow_groove_1d,972.6472997961131,2450767694.2580743,450.7413976981621,26.0401118526391,120.0,157.36,29.30143132814086
fine_scan_2d.csv,fine_primitive_P548_f0p75,primitive_1d_grating_fine,968.8538830220723,9473862543.211851,451.6753615269033,2458.2560618659754,137.0,137.0,29.405087007672734
wide_shallow_groove_scan_2d.csv,groove_P558_f0p74_gw140_gd100,wide_shallow_groove_1d,972.447851645951,3614992501.073293,452.37146024668675,24.862242283869406,100.0,145.07999999999998,30.893595777337488
fine_scan_2d.csv,fine_primitive_P546_f0p76,primitive_1d_grating_fine,968.7408465381925,11974999299.931557,453.2351774943194,2614.323399444523,131.04000000000002,131.04000000000002,31.084047177677352
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw140_gd100,wide_shallow_groove_1d,972.6002607315736,4478272144.104663,453.0125460958064,25.21704584145969,100.0,139.0,31.205247800919434
wide_shallow_groove_scan_2d.csv,groove_P556_f0p75_gw100_gd180,wide_shallow_groove_1d,973.1269463858506,4746142548.852071,446.9823555811609,42.78658466096442,100.0,139.0,31.23852116183263
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw100_gd180,wide_shallow_groove_1d,973.0658553949086,5105232452.619991,447.1219364646459,41.09539717942058,100.0,132.95999999999998,31.29118001681817
wide_shallow_groove_scan_2d.csv,groove_P550_f0p78_gw120_gd120,wide_shallow_groove_1d,972.943405948146,9005180745.64234,454.32517352108806,29.728424895848818,120.0,121.0,31.5456740266123
wide_shallow_groove_scan_2d.csv,groove_P558_f0p74_gw100_gd180,wide_shallow_groove_1d,972.9741644881863,3720355629.65433,446.8401031392996,44.38139856998918,100.0,145.07999999999998,31.622763949016274
wide_shallow_groove_scan_2d.csv,groove_P554_f0p76_gw140_gd100,wide_shallow_groove_1d,972.5523847256458,5324437206.028557,453.6490116264163,25.708215344664286,100.0,132.95999999999998,31.903954458653107
wide_shallow_groove_scan_2d.csv,groove_P562_f0p72_gw100_gd180,wide_shallow_groove_1d,972.0558874254684,2361088683.532948,446.54039516038523,47.2982372205466,100.0,157.36,33.64845016819224
fine_scan_2d.csv,fine_primitive_P546_f0p75,primitive_1d_grating_fine,965.7894889859084,11123079580.134678,450.200247934423,2549.9510448772753,136.5,136.5,35.594646722838114
fine_scan_2d.csv,fine_primitive_P548_f0p74,primitive_1d_grating_fine,965.7118244700644,8724983283.844086,448.73481601664844,2009.214367633341,142.48000000000002,142.48000000000002,37.629429942892614
fine_scan_2d.csv,fine_primitive_P546_f0p74,primitive_1d_grating_fine,962.6543503715467,9971208947.10961,447.2642128448948,1956.7167711757183,141.95999999999998,141.95999999999998,45.26097454242499
fine_scan_2d.csv,fine_primitive_P552_f0p74,primitive_1d_grating_fine,978.8171379824266,246.26038891875316,451.6612721020391,2011.954571432774,143.51999999999998,143.51999999999998,49.0727615283856
fine_scan_2d.csv,fine_primitive_P552_f0p72,primitive_1d_grating_fine,978.8171379824257,246.26038891874913,446.0963046998341,1133.4587174836627,154.56,154.56,54.31203458020154
fine_scan_2d.csv,fine_primitive_P554_f0p72,primitive_1d_grating_fine,979.994314616247,66.42711678676157,447.5465968398814,1184.0533541220796,155.12,155.12,54.41487101943859
fine_scan_2d.csv,fine_primitive_P556_f0p72,primitive_1d_grating_fine,979.8377780794224,27.303298058806636,448.9905124014269,1231.8038944373423,155.68,155.68,55.91825937760619
