x_nm,y_nm,abs_ez_squared,in_rare_earth_mask
258.13723404255325,39.99999999999998,1.4261370100196899e-15,False
264.1404255319149,39.999999999999986,2.178362620741698e-15,False
138.07340425531916,720.0,1.3074668263285535e-14,False
144.07659574468084,720.0,1.5944723322779373e-14,False
138.07340425531916,760.0,1.1630089164996946e-14,False
144.07659574468084,759.9999999999999,2.7732395451387987e-14,False
138.07340425531916,800.0,1.8315757964831397e-13,False
144.07659574468084,800.0,2.1404096704749008e-13,False
150.0797872340426,640.0,1.33824709239056e-16,False
156.08297872340427,639.9999999999999,1.302723251221479e-14,False
150.07978723404258,680.0,7.305182254699183e-17,False
156.08297872340424,680.0,1.1776221611867119e-14,False
162.08617021276598,559.9999999999999,1.0833439830601053e-15,False
168.0893617021277,560.0,1.1994936780013623e-15,False
162.08617021276595,599.9999999999999,8.01771310277004e-15,False
168.08936170212766,599.9999999999999,1.6550638197621803e-14,False
174.09255319148943,480.0,1.7153466449760124e-13,False
180.09574468085114,480.0,1.4551022621741822e-13,False
174.0925531914894,520.0,6.508667491967608e-14,False
180.09574468085114,520.0,5.483900877692624e-14,False
186.09893617021288,400.0,3.0281293116953046e-13,False
192.10212765957462,400.0,8.279042416882985e-14,False
186.09893617021288,439.99999999999994,1.7441938493597974e-13,False
192.1021276595746,439.99999999999994,5.942478118804831e-14,False
198.1053191489364,320.0,3.63999117887232e-16,False
204.10851063829807,320.00000000000006,2.511724263574799e-15,False
198.1053191489364,360.0,4.098283985818857e-15,False
204.10851063829804,360.0,1.7386765226954497e-15,False
210.11170212765984,240.0000000000001,5.392012859163967e-15,False
216.11489361702144,240.0000000000001,4.389401528156564e-15,False
210.1117021276598,280.0000000000001,5.720873091816209e-16,False
216.11489361702144,280.0000000000001,4.400444205408482e-15,False
222.11808510638306,159.99999999999997,8.600906838434046e-16,False
228.12127659574475,159.99999999999997,2.7345453848182526e-16,False
222.11808510638306,200.00000000000003,5.669518277230142e-17,False
228.12127659574475,200.00000000000003,2.6356768033141076e-16,False
234.12446808510637,79.99999999999999,5.08996364206878e-16,False
240.12765957446814,79.99999999999999,1.46666213415469e-17,False
234.1244680851064,119.99999999999997,1.3660545338685254e-16,False
240.12765957446808,119.99999999999997,2.1660981150501945e-16,False
246.1308510638298,0.0,0.0,False
252.13404255319148,0.0,0.0,False
246.13085106382985,39.99999999999999,7.237027634776467e-16,False
252.13404255319153,39.999999999999986,3.649404962798453e-16,False
126.06702127659577,720.0,1.1559464692677104e-14,False
132.07021276595748,720.0,1.1475517575538945e-14,False
126.06702127659577,760.0,4.491843253411611e-17,False
132.07021276595748,759.9999999999999,4.040382916105073e-15,False
126.06702127659577,800.0,4.383753896083021e-13,False
132.07021276595748,800.0,2.7362905747501433e-13,False
138.0734042553192,639.9999999999999,1.2597478400041128e-16,False
144.0765957446809,639.9999999999999,2.931395511166035e-16,False
138.0734042553192,680.0,2.907640730896096e-16,False
144.0765957446809,680.0,6.462454047652168e-17,False
150.07978723404258,560.0000000000001,6.201765611295318e-16,False
156.0829787234043,560.0,1.9119516436631074e-16,False
150.07978723404258,600.0000000000001,4.089868165347083e-16,False
156.08297872340427,599.9999999999999,1.5889924810108315e-15,False
162.08617021276598,480.0,6.82306305329786e-14,False
168.0893617021277,480.0,1.3192182187177594e-13,False
162.08617021276598,519.9999999999999,2.886239531386298e-14,False
168.0893617021277,520.0,5.618265963347208e-14,False
174.0925531914895,400.0000000000001,6.422339765113939e-13,False
180.09574468085117,400.00000000000006,5.48319016776159e-13,False
174.09255319148946,440.00000000000006,3.516144232692843e-13,False
180.09574468085117,440.0,3.030160799441237e-13,False
186.09893617021288,320.0,7.431664876265958e-13,False
192.10212765957462,320.0,2.1346317841566927e-13,False
186.09893617021288,360.0,4.2428835125695623e-13,False
192.10212765957462,360.0,1.0711280993606836e-13,False
198.10531914893645,240.0,3.909186695177451e-15,False
204.10851063829813,240.00000000000006,3.769048914560591e-15,False
198.10531914893642,280.00000000000006,3.2504538626732117e-15,False
204.1085106382981,280.00000000000006,2.2069720028084104e-16,False
210.11170212765984,159.99999999999997,2.085367977707302e-15,False
216.11489361702144,159.99999999999997,6.495590939581482e-16,False
210.11170212765984,200.00000000000006,1.053151374545109e-15,False
216.11489361702144,200.00000000000003,9.586444480412167e-16,False
222.1180851063831,79.99999999999997,1.0052763812769845e-15,False
228.12127659574475,79.99999999999997,1.3323708655686565e-15,False
222.1180851063831,119.99999999999994,3.553845705205695e-16,False
228.12127659574475,119.99999999999994,1.2864772867635125e-16,False
234.1244680851064,0.0,0.0,False
240.12765957446808,0.0,0.0,False
234.1244680851064,39.99999999999999,3.1308784748234498e-15,False
240.12765957446808,39.99999999999999,1.3207530247456634e-15,False
114.06063829787229,720.0,1.0136157457910144e-14,False
120.06382978723404,720.0,1.1096414585120016e-14,False
114.06063829787229,760.0,9.547645885404264e-15,False
120.06382978723404,759.9999999999999,3.567868987135857e-15,False
114.06063829787227,800.0,9.856564574588128e-13,False
120.06382978723401,800.0,7.093028115483562e-13,False
126.06702127659572,640.0,1.1946722789883927e-15,False
