design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
cyl_P280_G130,280.0,75.0,130.0,0.0,0.0,3,677.945118498437,0.23275557695684823,442.20756196903153,1456.345595156512,11,5,4,2,28.13938024463285
cyl_P280_G130,280.0,75.0,130.0,0.0,0.0,4,678.1264803425354,0.23488420497960955,442.08929556705823,1443.5335922255904,11,5,4,2,28.272996854031284
cyl_P280_G150,280.0,65.0,150.0,0.0,0.0,1,667.3678849157172,0.2999614626629226,449.21618911563473,1112.4227075557073,12,6,4,2,21.59873150273562
cyl_P280_G150,280.0,65.0,150.0,0.0,0.0,2,667.4205653496059,0.3018157256294253,449.1807318567773,1105.6755971838868,12,6,4,2,21.64475724481925
cyl_P280_G150,280.0,65.0,150.0,0.0,0.0,3,654.8516351657745,0.0016659095823931607,457.80210646356267,196544.77112288654,12,6,4,2,17.628260486205264
cyl_P280_G150,280.0,65.0,150.0,0.0,0.0,4,650.5030160245913,0.0004172406675890133,460.86251810501494,779529.7373377611,12,6,4,2,18.29518735615035
cyl_P310_G130,310.0,90.0,130.0,0.0,0.0,1,664.6635818677648,1.8252108339648123,451.04390578697877,182.07857675925308,14,6,6,2,23.002870386941762
cyl_P310_G130,310.0,90.0,130.0,0.0,0.0,2,654.7164041072185,2.0266218014220754,457.896665058823,161.5290044861369,14,6,6,2,30.0636629928409
cyl_P310_G130,310.0,90.0,130.0,0.0,0.0,3,654.3279014036572,2.0396585548104693,458.16853806308495,160.40133282613547,14,6,6,2,30.347706172463667
cyl_P310_G130,310.0,90.0,130.0,0.0,0.0,4,653.5166832833004,5.361066878310596,458.7372681808638,60.95024536321766,14,6,6,2,32.597366347794214
cyl_P310_G150,310.0,80.0,150.0,0.0,0.0,1,656.7500611903312,0.7471663681290437,456.47876675738576,439.4938592022542,13,6,5,2,26.906955512176236
cyl_P310_G150,310.0,80.0,150.0,0.0,0.0,2,653.5166906859972,5.361101149646588,458.73726298452686,60.949856423533255,13,6,5,2,32.597372236885846
cyl_P310_G150,310.0,80.0,150.0,0.0,0.0,3,653.5114120204937,5.362081094652382,458.74096838357684,60.938225334958325,13,6,5,2,32.60140917401758
cyl_P310_G150,310.0,80.0,150.0,0.0,0.0,4,653.5039491653858,5.363954101764261,458.7462070931263,60.916251031160165,13,6,5,2,32.60727442232189
cyl_P310_G180,310.0,65.0,180.0,0.0,0.0,1,653.5166905286826,5.361027426613574,458.73726309495413,60.95069457063874,12,6,4,2,32.59734845881319
cyl_P310_G180,310.0,65.0,180.0,0.0,0.0,2,653.5114339267885,5.362075487505885,458.7409530061644,60.9382911010418,12,6,4,2,32.601391921799504
cyl_P310_G180,310.0,65.0,180.0,0.0,0.0,3,653.5039407577348,5.3638810622110205,458.74621299512296,60.917079739306985,12,6,4,2,32.60725669181186
cyl_P310_G180,310.0,65.0,180.0,0.0,0.0,4,653.5019743445591,5.364294282295257,458.7475933805432,60.912203912957295,12,6,4,2,32.6087761271824
