design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
primitive_P500_f0p42,primitive_1d_grating,single-period 1D reference,500.0,1,500,210,210.0,290.0,986.9607178137455,5.950090966565873,1,449.59164747911433,23.748491626337632,1,80.4055787873053
trimer_visible_pump_s0p92,trimer_visible_pump_supercell,three-ridge supercell for folded dual branches,1264.08,3,270.48;496.8;496.8,146.28;354.2;377.2,121.89999999999986,121.89999999999986,994.0656665681174,137.87195275406313,2,454.30904984033896,406.63278254555047,3,82.02724193580157
primitive_P600_f0p42,primitive_1d_grating,single-period 1D reference,600.0,1,600,252,252.0,348.0,990.3807561699781,6.278511888595219,1,450.61214555495366,65.06626272662453,1,84.3109462885646
primitive_P540_f0p42,primitive_1d_grating,single-period 1D reference,540.0,1,540,226.8,226.79999999999998,313.20000000000005,988.5588601861074,6.056048193136557,1,453.7584569375532,9.423340891372703,1,86.5040324434759
primitive_P600_f0p55,primitive_1d_grating,single-period 1D reference,600.0,1,600,330,270.0,270.0,946.336317109347,9645356.75180195,3,456.2593146366306,1492.284264634089,4,87.00104611116693
primitive_P420_f0p55,primitive_1d_grating,single-period 1D reference,420.0,1,420,231,188.99999999999997,188.99999999999997,994.2107827255402,6.398420667507905,1,453.6600198404127,87.57687998654943,1,93.66951788842802
primitive_P600_f0p68,primitive_1d_grating,single-period 1D reference,600.0,1,600,408,191.99999999999994,191.99999999999994,1020.4172629334571,369222812.94736624,2,449.62932085574016,40.60390478672914,1,95.77093380831502
hybrid_451_980_P420_760,hybrid_451_980_supercell,one visible-scale ridge plus one 980-scale ridge,1180.0,2,420;760,240;520,210.0,210.0,998.7420652412425,15.174078172536674,1,451.48495183785496,115.90485217575446,1,97.44495963105177
primitive_P540_f0p55,primitive_1d_grating,single-period 1D reference,540.0,1,540,297,243.0,243.0,957.5694811027988,257.24576083007605,3,453.85699995431696,19.703705418462985,3,101.66740853791183
primitive_P320_f0p68,primitive_1d_grating,single-period 1D reference,320.0,1,320,217.6,102.39999999999998,102.39999999999998,1000.134635476832,6.677119398651583,1,449.0235518389211,604.1476530515336,4,102.84902274813791
primitive_P500_f0p55,primitive_1d_grating,single-period 1D reference,500.0,1,500,275,225.0,225.0,999.5349225940901,6.693474741551314,1,452.3684973555527,27.805073530274097,1,104.88228494998536
primitive_P540_f0p68,primitive_1d_grating,single-period 1D reference,540.0,1,540,367.2,172.79999999999995,172.79999999999995,957.5694808768701,257.2458778674188,2,457.5231848214915,23.12358314252394,1,105.05556357121547
hybrid_451_980_P320_600,hybrid_451_980_supercell,one visible-scale ridge plus one 980-scale ridge,920.0,2,320;600,180;420,160.0,160.0,953.7430233665139,23.998280204308315,2,447.31444815970775,3967.217833835956,7,108.14430007798796
primitive_P294_f0p55,primitive_1d_grating,single-period 1D reference,294.0,1,294,161.7,132.29999999999998,132.29999999999998,1007.5240378177895,7.154401091132491,1,445.06086721572007,2203148099.2859883,2,111.00519543200312
primitive_P420_f0p68,primitive_1d_grating,single-period 1D reference,420.0,1,420,285.6,134.39999999999998,134.39999999999998,1008.1598263056018,6.9312021134925175,1,449.75088515530985,60.71111533912625,2,120.55003466872391
primitive_P500_f0p68,primitive_1d_grating,single-period 1D reference,500.0,1,500,340,160.0,160.0,1013.9903803507286,7.341614384269627,1,449.4608132507463,65.64473526755565,1,132.1906068585375
primitive_P420_f0p75,primitive_1d_grating,single-period 1D reference,420.0,1,420,315,105.0,105.0,1016.2556750415723,7.17276176501903,1,452.4408645528545,57.62171608989724,1,138.42006503741504
primitive_P500_f0p75,primitive_1d_grating,single-period 1D reference,500.0,1,500,375,125.0,125.0,1021.691728204125,7.576119125320459,1,450.25893474514254,66.7718735966987,1,146.67001984921652
primitive_P600_f0p75,primitive_1d_grating,single-period 1D reference,600.0,1,600,450,150.0,150.0,1047.7661777507324,1003681693.9378225,4,447.56076018617057,39.75043370613116,1,152.57422782934665
