design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
fine_primitive_P550_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,396,154.0,154.0,975.2760028970451,248.04351755893055,2,444.6412595598956,1085.4514125381959,3,62.9025979226478
fine_primitive_P564_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,428.64,135.36,135.36,980.7182478316121,9.80389977578743,1,450.9358289114303,54.68478686975832,1,63.60940861651261
fine_primitive_P564_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,423,141.0,141.0,980.7182478316519,9.803899775782645,1,456.25471622350057,789.8033563476064,3,64.16134394687948
fine_primitive_P564_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,439.92,124.07999999999998,124.07999999999998,980.7182478315651,9.803899775794118,1,452.04424158625943,54.81005450497362,1,64.5855042735906
fine_primitive_P560_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,448,112.0,112.0,980.8727420188158,16.574285889730486,1,452.3795657155675,54.858902124112646,1,65.13201752543239
fine_primitive_P558_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,435.24,122.75999999999999,122.75999999999999,983.3120672253425,27.110564725236795,3,450.89989947770704,55.755480651139294,1,65.7071147670557
fine_primitive_P546_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,393.12,152.88,152.88,955.8462802058563,7462302589.909529,9,447.98432600060136,23.392674275702948,1,65.84679409304621
fine_primitive_P562_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,421.5,140.5,140.5,977.3892518616178,9.870328051143101,1,455.0663575182339,784.4545756336444,3,66.74926148271298
fine_primitive_P558_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,390.6,167.40000000000003,167.40000000000003,983.3120672253493,27.110564725234592,3,445.3642888238601,675.3955501069381,3,66.90964289756113
fine_primitive_P564_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,451.2,112.79999999999995,112.79999999999995,980.7182478314685,9.803899775802899,1,453.1251253519063,54.17965396961579,1,67.18648406688803
fine_primitive_P550_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,385,165.0,165.0,975.2760028970451,248.04351755887495,2,446.65991164491265,23.90612968827166,1,67.51235030548908
fine_primitive_P562_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,427.12,134.88,134.88,977.3892518616453,9.870328051117616,1,450.55422756056487,55.033359119118394,1,67.74444351789815
fine_primitive_P562_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,438.36,123.63999999999999,123.63999999999999,977.3892518617138,9.870328051142401,1,451.66701747088814,55.18580835211202,1,67.96088300371767
fine_primitive_P558_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,446.4,111.59999999999997,111.59999999999997,983.3120672253408,27.110564725237953,3,451.99922167319676,55.089314572583994,1,68.12711669884617
fine_primitive_P562_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,449.6,112.39999999999998,112.39999999999998,977.3892518617388,9.870328051131523,1,452.75505903851615,54.55674331874262,1,70.56884045340028
fine_primitive_P548_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,383.6,164.40000000000003,164.40000000000003,951.3350456726098,4865455352.133196,11,446.1441045661647,23.899347570633683,1,76.67225990747441
fine_primitive_P546_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,382.2,163.8,163.8,948.312993222405,5322861702.708444,11,445.6302937776223,23.936616537346378,1,83.22746872762319
