x_nm,y_nm,abs_ez,abs_ez_squared
265.520625,639.9999999999999,3.944078804004531e-07,1.5555757612197814e-13
277.06499999999994,639.9999999999999,3.9415607294186757e-07,1.5535900983695484e-13
242.43187500000002,666.6666666666666,8.374292994665196e-07,7.012878316049858e-13
253.97625000000002,666.6666666666666,8.373295452917962e-07,7.011207674185663e-13
265.520625,666.6666666666666,8.373679687801956e-07,7.011851151390705e-13
277.06499999999994,666.6666666666666,8.375448491560593e-07,7.014813743478462e-13
242.43187500000002,693.3333333333334,1.3200863760596055e-06,1.7426280402581821e-12
253.97625000000002,693.3333333333334,1.3201228519131657e-06,1.7427243441433502e-12
265.520625,693.3333333333334,1.3200798324676195e-06,1.7426107640877385e-12
277.06499999999994,693.3333333333334,1.3199572615292488e-06,1.7422871722637936e-12
173.16562499999998,719.9999999999998,2.5177757592585785e-06,6.339194773910112e-12
184.70999999999998,719.9999999999999,2.5172839382005253e-06,6.336718425522346e-12
196.25437499999992,720.0,2.517446188429517e-06,6.3375353116383026e-12
173.16562499999998,746.6666666666665,5.3451337920805635e-06,2.8570455255241544e-11
184.70999999999998,746.6666666666667,5.346405404227788e-06,2.85840507463561e-11
196.25437499999992,746.6666666666667,5.346335126342928e-06,2.858329928316825e-11
173.16562499999998,773.3333333333331,8.430373357108324e-06,7.107119494024188e-11
184.70999999999998,773.3333333333334,8.429554892831472e-06,7.1057395691259e-11
196.25437499999992,773.3333333333334,8.429159858701097e-06,7.105073592353791e-11
173.16562499999998,800.0,1.608665243751307e-05,2.5878038664534523e-10
184.70999999999995,800.0000000000001,1.608124529864581e-05,2.58606450355218e-10
196.25437499999992,800.0,1.608042384442861e-05,2.5858003101646826e-10
207.79874999999984,640.0000000000001,3.9383386563232414e-07,1.5510511371889954e-13
219.34312499999993,640.0000000000001,3.940666285945851e-07,1.5528850777190265e-13
230.8875,639.9999999999999,3.941665373410245e-07,1.5536725915941326e-13
207.7987499999999,666.6666666666669,8.370020101515993e-07,7.005723649978179e-13
219.34312499999993,666.6666666666667,8.370751949222911e-07,7.006948819541916e-13
230.88750000000002,666.6666666666666,8.372176169823211e-07,7.009333381855566e-13
207.79874999999993,693.3333333333334,1.319718348590961e-06,1.7416565196076533e-12
219.34312499999996,693.3333333333334,1.3198828426858164e-06,1.7420907184163915e-12
230.8875,693.3333333333334,1.320005527011417e-06,1.742414591340689e-12
242.43187499999993,560.0000000000001,6.106232613381274e-08,3.728607672872111e-15
253.9762499999999,560.0000000000001,6.10286897273563e-08,3.724500969837925e-15
265.52062499999994,560.0,6.103450030205473e-08,3.725210227121519e-15
277.06499999999994,560.0,6.107971206949796e-08,3.7307312264927745e-15
242.431875,586.6666666666666,1.3047169031826368e-07,1.7022861974504898e-14
253.97624999999996,586.6666666666667,1.30457079044141e-07,1.701904947272925e-14
265.52062499999994,586.6666666666666,1.3050980474597604e-07,1.703280913483279e-14
277.06499999999994,586.6666666666666,1.3062986777498935e-07,1.70641623549112e-14
242.431875,613.3333333333333,2.063814489861728e-07,4.259330248563225e-14
253.97624999999996,613.3333333333334,2.0643894326002513e-07,4.261703729431588e-14
265.520625,613.3333333333333,2.0648416390276803e-07,4.263570994262517e-14
277.06499999999994,613.3333333333333,2.0651714878368868e-07,4.2649332741744206e-14
138.53250000000003,720.0,2.517452270185191e-06,6.337565932660572e-12
150.07687500000003,720.0,2.5168330920643554e-06,6.334448813310224e-12
161.62125,719.9999999999998,2.5169409858813127e-06,6.3349919264091944e-12
138.53250000000003,746.6666666666667,5.344993091216052e-06,2.8568951145147327e-11
150.076875,746.6666666666667,5.346457072919261e-06,2.858460323256839e-11
161.62125,746.6666666666667,5.346503939708984e-06,2.8585104377323686e-11
138.5325,773.3333333333334,8.430759879273466e-06,7.107771214196715e-11
150.076875,773.3333333333334,8.430167311063262e-06,7.106772089251959e-11
161.62125,773.3333333333334,8.430038459891988e-06,7.106554843525808e-11
138.5325,800.0,1.608794144319361e-05,2.5882185987962646e-10
150.076875,800.0000000000001,1.6082627440754442e-05,2.586509053981078e-10
161.62124999999997,800.0,1.608219761208047e-05,2.5863708003400676e-10
173.16562499999992,639.9999999999999,3.9357813417207947e-07,1.549037476983754e-13
184.70999999999992,639.9999999999999,3.938485149423042e-07,1.5511665272225842e-13
196.2543749999999,640.0,3.939337359188569e-07,1.551837882949877e-13
173.16562499999995,666.6666666666665,8.365154020907517e-07,6.997580179350519e-13
184.70999999999995,666.6666666666665,8.365233640142236e-07,6.997713385416733e-13
196.25437499999992,666.6666666666666,8.366855717605918e-07,7.000427459923484e-13
173.16562499999995,693.3333333333331,1.3191531562181943e-06,1.7401650495604238e-12
184.70999999999995,693.3333333333331,1.3193607819292125e-06,1.7407128728928628e-12
196.25437499999992,693.3333333333334,1.3195491847309938e-06,1.7412100509242304e-12
207.7987499999998,559.9999999999999,6.137075993502645e-08,3.766370175002648e-15
219.34312499999984,560.0,6.123282564204092e-08,3.749458936108584e-15
230.88749999999987,560.0,6.1130028378722e-08,3.736880369583357e-15
207.79874999999984,586.6666666666666,1.306760618586863e-07,1.707623314289521e-14
219.34312499999987,586.6666666666667,1.305630654916536e-07,1.704671407057783e-14
230.88749999999996,586.6666666666666,1.304949401794597e-07,1.7028929412440767e-14
207.79874999999984,613.3333333333334,2.0629514958478098e-07,4.255768874220716e-14
219.3431249999999,613.3333333333334,2.0632064906275006e-07,4.256821022967447e-14
230.8875,613.3333333333333,2.063494342540202e-07,4.258008901695421e-14
242.43187500000008,480.0,9.746104702415727e-09,9.498655687044994e-17
253.97625000000002,480.0,9.711102918577547e-09,9.430551989520534e-17
265.520625,480.0,9.679628032266736e-09,9.3695198843044e-17
277.06499999999994,480.0,9.651594461418735e-09,9.315327564768881e-17
242.43187500000008,506.6666666666667,2.0254191348927323e-08,4.1023226719896244e-16
253.97625000000002,506.6666666666667,2.0212270619484447e-08,4.085358835952742e-16
265.520625,506.6666666666667,2.0183202915205786e-08,4.0736167991637135e-16
277.06499999999994,506.6666666666667,2.0167079096130897e-08,4.067110792695998e-16
242.431875,533.3333333333334,3.1786125209619314e-08,1.0103577558415966e-15
253.97624999999996,533.3333333333334,3.1735166332170395e-08,1.0071207821305214e-15
265.520625,533.3333333333334,3.1727083417203074e-08,1.0066078221621622e-15
277.06499999999994,533.3333333333333,3.1761904391088035e-08,1.0088185705486174e-15
103.89937500000002,719.9999999999998,2.517376449462869e-06,6.337184188310281e-12
115.44375000000004,719.9999999999999,2.5166451344659886e-06,6.333502732831334e-12
126.98812500000004,720.0,2.516670357082164e-06,6.333629686216066e-12
103.89937500000002,746.6666666666665,5.344770750372856e-06,2.8566574374041225e-11
115.44375000000004,746.6666666666667,5.346291776995004e-06,2.8582835764764402e-11
126.98812500000004,746.6666666666667,5.3463659181860326e-06,2.858362853114118e-11
103.89937500000002,773.3333333333331,8.43038012474039e-06,7.107130904761781e-11
115.44375000000004,773.3333333333334,8.430008157912455e-06,7.106503754247054e-11
126.98812500000001,773.3333333333334,8.430134749543321e-06,7.106717189545784e-11
103.89937500000003,800.0,1.608749070533929e-05,2.588073571943781e-10
115.44375000000004,800.0000000000001,1.6082547567986927e-05,2.586483362765622e-10
126.98812500000001,800.0,1.608269793927711e-05,2.5865317300602826e-10
138.5325,639.9999999999999,3.9349388801403415e-07,1.5483743990440125e-13
150.07687499999997,639.9999999999999,3.936996051870921e-07,1.549993791244722e-13
161.62124999999995,639.9999999999999,3.9372765828070184e-07,1.5502146889520513e-13
138.5325,666.6666666666666,8.36232679851141e-07,6.99285094851021e-13
150.076875,666.6666666666666,8.361386509113317e-07,6.991278435478218e-13
161.62124999999997,666.6666666666665,8.362329138955581e-07,6.992854862822559e-13
138.53250000000003,693.3333333333334,1.3187171083539465e-06,1.7390148118653942e-12
150.076875,693.3333333333334,1.3188395682757617e-06,1.7393378068497975e-12
161.62125,693.3333333333334,1.318984918605064e-06,1.7397212155076072e-12
173.16562499999995,559.9999999999999,6.187349910541706e-08,3.828329891548045e-15
184.7099999999999,559.9999999999999,6.170893853235658e-08,3.807993094790163e-15
196.25437499999984,559.9999999999999,6.154136925633322e-08,3.787340129944356e-15
173.16562499999995,586.6666666666665,1.3104198338024866e-07,1.7172001408229366e-14
184.70999999999995,586.6666666666666,1.3088164031492885e-07,1.7130003771526408e-14
196.25437499999987,586.6666666666665,1.307596359256635e-07,1.709808238741207e-14
173.16562499999992,613.3333333333331,2.063442909616105e-07,4.257796641244977e-14
184.70999999999992,613.3333333333334,2.0632902587895204e-07,4.257166692015726e-14
196.2543749999999,613.3333333333333,2.0631265386905087e-07,4.256491114649079e-14
207.7987499999998,480.0,9.789876123121646e-09,9.584167450606731e-17
219.3431249999999,480.0,9.778843102445188e-09,9.562577242223983e-17
230.8875,480.0,9.764553170865023e-09,9.534649862665017e-17
207.7987499999998,506.6666666666667,2.0481852330954024e-08,4.195062749070068e-16
219.3431249999999,506.6666666666667,2.040113038531669e-08,4.1620612099869196e-16
230.8875,506.6666666666667,2.0325362744025044e-08,4.1312037067620124e-16
207.79874999999979,533.3333333333333,3.2127968281532805e-08,1.0322063458991781e-15
219.34312499999987,533.3333333333334,3.198632262404317e-08,1.0231248350093759e-15
230.88749999999993,533.3333333333334,3.1872382743237866e-08,1.0158487817314469e-15
242.43187500000002,399.99999999999994,1.9208464314343383e-09,3.689651013154032e-18
253.97625000000002,399.99999999999994,1.958696253488058e-09,3.8364910134281545e-18
265.520625,399.99999999999994,1.965635927635453e-09,3.863724600011288e-18
277.06499999999994,400.0,1.9419180248279866e-09,3.7710456151518286e-18
242.43187500000008,426.66666666666663,3.6651163677512235e-09,1.3433077989157922e-17
253.97625000000002,426.6666666666667,3.6897033861949553e-09,1.361391107809852e-17
265.520625,426.6666666666667,3.6817451164716055e-09,1.3555247102662516e-17
